timestamp,emg_value
1734105796.441291,494
1734105796.4413302,493
1734105796.4413676,493
1734105796.4414032,494
1734105796.4414384,493
1734105796.4414754,493
1734105796.4415112,494
1734105796.4415472,494
1734105796.441582,493
1734105796.4416184,493
1734105796.4416535,492
1734105796.4416904,493
1734105796.4417276,493
1734105796.4417667,493
1734105796.4418051,494
1734105796.4418435,493
1734105796.4418817,494
1734105796.4419272,494
1734105796.4419873,493
1734105796.4420254,494
1734105796.4420636,494
1734105796.442102,494
1734105796.4421396,494
1734105796.442178,494
1734105796.442216,493
1734105796.4422553,493
1734105796.4422932,493
1734105796.442334,493
1734105796.4423685,494
1734105796.442404,493
1734105796.442439,493
1734105796.4424746,493
1734105796.4425104,493
1734105796.442546,493
1734105796.4425805,494
1734105796.4426155,493
1734105796.4426506,493
1734105796.4426856,493
1734105796.4427207,494
1734105796.4427562,493
1734105796.442791,493
1734105796.442827,494
1734105796.4428616,493
1734105796.4428964,493
1734105796.4429314,494
1734105796.4429884,492
1734105796.4430254,493
1734105796.4430604,493
1734105796.443095,493
1734105796.4431298,494
1734105796.4431648,493
1734105796.4431996,493
1734105796.4432344,493
1734105796.4432704,494
1734105796.4433072,493
1734105796.4433396,493
1734105796.443372,493
1734105796.4434044,492
1734105796.4434366,493
1734105796.4434688,493
1734105796.4435012,492
1734105796.4435341,494
1734105796.4435673,494
1734105796.443601,493
1734105796.4436345,493
1734105796.4436693,493
1734105796.4437017,493
1734105796.4437342,492
1734105796.4437668,492
1734105796.4438,493
1734105796.4438326,493
1734105796.443865,493
1734105796.4438975,492
1734105796.4439301,491
1734105796.443969,492
1734105796.4440026,493
1734105796.4440353,492
1734105796.444071,493
1734105796.444104,493
1734105796.4441376,494
1734105796.4441705,494
1734105796.444204,493
1734105796.4442372,493
1734105796.4442704,493
1734105796.4443035,492
1734105796.444337,494
1734105796.444369,493
1734105796.4444022,492
1734105796.444435,493
1734105796.4444675,493
1734105796.4445007,494
1734105796.4445336,493
1734105796.4445643,493
1734105796.4445958,494
1734105796.4446273,494
1734105796.4446583,493
1734105796.4446888,493
1734105796.4447215,494
1734105796.444752,493
1734105796.4447837,493
1734105796.4502962,493
1734105796.4603019,493
1734105796.470298,494
1734105796.4802234,493
1734105796.4902718,493
1734105796.5003994,493
1734105796.5104163,493
1734105796.5206304,494
1734105796.530681,493
1734105796.5407872,493
1734105796.5507822,494
1734105796.5608191,494
1734105796.5708385,493
1734105796.5807064,493
1734105796.5907109,494
1734105796.6007519,493
1734105796.6108804,494
1734105796.6208677,494
1734105796.6311326,493
1734105796.640907,493
1734105796.651175,492
1734105796.6611254,493
1734105796.671159,492
1734105796.6811366,493
1734105796.691171,493
1734105796.7011666,493
1734105796.7112393,496
1734105796.7212756,497
1734105796.731255,499
1734105796.7411711,492
1734105796.751157,491
1734105796.7612314,491
1734105796.7712336,493
1734105796.7811193,491
1734105796.7913337,489
1734105796.8013396,499
1734105796.8113692,493
1734105796.8213851,491
1734105796.8313673,493
1734105796.8410754,492
1734105796.8510933,495
1734105796.8610084,495
1734105796.871032,493
1734105796.881251,494
1734105796.8913605,492
1734105796.9012353,492
1734105796.9112751,495
1734105796.9210987,492
1734105796.9312465,492
